127.0.0.1 - - [02/Mar/2019:13:14:02 +0000] "GET /2019/03/02/hello-world/ HTTP/1.0" 200 17573 "http://and.local/2019/03/02/hello-world/" "WordPress/5.1; http://and.local"
127.0.0.1 - - [02/Mar/2019:13:14:04 +0000] "POST /wp-cron.php?doing_wp_cron=1551532444.1825559139251708984375 HTTP/1.0" 200 0 "http://and.local/wp-cron.php?doing_wp_cron=1551532444.1825559139251708984375" "WordPress/5.1; http://and.local"
127.0.0.1 - - [02/Mar/2019:13:36:06 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:09 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:09 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fand.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 3181 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:10 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://and.local/wp-login.php?redirect_to=http%3A%2F%2Fand.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:26 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://and.local/wp-login.php?redirect_to=http%3A%2F%2Fand.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:29 +0000] "GET /wp-admin/ HTTP/1.0" 200 56549 "http://and.local/wp-login.php?redirect_to=http%3A%2F%2Fand.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:29 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=5.1 HTTP/1.0" 200 109102 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:29 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=5.1 HTTP/1.0" 200 339095 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:30 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,jquery-ui-core,jquery-&load%5B%5D=ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,underscore,wp-util,wp-a11y,dashboard,thickbox,plugin-install,updates,shortc&load%5B%5D=ode,media-upload,svg-painter&ver=5.1 HTTP/1.0" 200 201345 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:32 +0000] "POST /wp-cron.php?doing_wp_cron=1551533791.0350348949432373046875 HTTP/1.0" 499 0 "http://and.local/wp-cron.php?doing_wp_cron=1551533791.0350348949432373046875" "WordPress/5.1; http://and.local"
127.0.0.1 - - [02/Mar/2019:13:36:32 +0000] "POST /wp-cron.php?doing_wp_cron=1551533791.0393350124359130859375 HTTP/1.0" 499 0 "http://and.local/wp-cron.php?doing_wp_cron=1551533791.0393350124359130859375" "WordPress/5.1; http://and.local"
127.0.0.1 - - [02/Mar/2019:13:36:32 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=5a751da7a0&1551533792284 HTTP/1.0" 200 1114 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:32 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:32 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=5a751da7a0&1551533793665 HTTP/1.0" 200 572 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:32 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=5a751da7a0&1551533793951 HTTP/1.0" 200 1 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:33 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 542 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:36:35 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 805 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:37:32 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:39:32 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:41:33 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:43:33 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:45:34 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:47:35 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
127.0.0.1 - - [02/Mar/2019:13:49:37 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://and.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.109 Safari/537.36"
